MENSAJE
El Colectivo Digital Militando con Arauz felicita su gestión compañero Jota Lloret , los compañeros de diferentes sectores indígenas del país siempre necesitan ser escuchados. 
Adelante J.
AZUAY  CON JOTA LLORÈT  LISTA 1  VENCEREMOS
Ya no hay que votar por los mismo, no han demostrado su trabajo es mejor conocer a nuevos oportunistas o verdaderos servidores.
Todo 1 pero  por favor demos ejemplo  de medidas  de prevención  y uso de mascarilla auque  sea para foto usarla.
Ponte 11 todo 1! 
Una sola vuelta
Todo 1111
Yaku Pérez
Excelente una sola vuelta 1?
TODO TODITO 1.
