MENSAJE
"Muy bien estimado Jota nuestro apoyo desde Pucará.
Todito #1?"
Un abrazo enorme estimado  Jota , más firmes que nunca , siempre con todo mi apoyo . HLVS ???????? #Azuay es lista 1
AZUAY  CON  JOTA  LLORÈT  LISTA 1  VENCEREMOS
Ludo, tierra de gente increíble!
Creo que todos los azuayos estamos con  los candidatos de la REVOLUCIÓN CIUDADANA - LISTA 1
Ludo mi tierra... Todito 1
Todo 1
J. LLORET HLVS LISTA 1
Jota Lloret está indentificado con las necesidades del pueblo, sencillo, honesto y luchador, mi voto convencido por el y por toda la lista UNO ??
TODO TODITO 1.
