MENSAJE
De los asambleístas que se abstuvieron deben darnos a conocer sus nombres para reconocerlos cuando vayan a pedir el voto ahora que estan en campaña.
¡El Ecuador está de fiesta! ??????  María Paula Romo es destituida por ser la responsable de los fallecidos de octubre, por haber reprimido con odio a ecuatorianos y por repartir hospitales a cambio de votos de la Asamblea Nacional. Sin odio pero con memoria, es cuestión de tiempo para que se haga justicia. #CayóLaRepartidora  La bancada de la Revolución Ciudadana siempre firme frente al peor Gobierno de la historia.
Muy bien señor Asambleísta  Jota usted se ha mantenido y demostrado lealtad y convicción con la Patria .
Bien bro??
Muy bien felicitaciones por mandarle a esta señora que ha hecho tanto mal al país gobernado por ineptos y traidores. Pero también la “Fiscal” debería formular cargos por el reparto antes que salga huyendo. Pero esperar algo así es una utopía. No falta mucho para que caigan uno por uno.
Que no pueda ocupar ningún cargo público
Muy bien??
Vamos co todos
#Venceremos #Jota.
Está Sapa ya ha de salir huyendo y  el patojo le ha de dar un mejor puesto omg.
Mañana ha de aparecer en un cargo y salario mayor!!! 10 minutos se tomó el baboso para agradecerle a nivel nacional, desmereciendo el trabajo de Asambleístas!!!! Hasta cuándo!!!!!
Para cuando el otro asesino de jarrin
Muy bien ..
Era necesario su voto cuando se necesitaba incautar los bienes de los corruptos, no es necesario utilizar la figura de Rafael Correa fue un excelente presidente, pero necesitan demostrar sus capacidades sin su imagen, Ya que Sr. Asambleísta su trabajo por el Azuay fue pésimo, no pienso que vaya a cambiar ahora, si antes no pudo peor ahora..
Queremos los nombres de los que votaron en contra de destituir a romo y los que se abstuvieron el pais quiere los nombres de esas ratas corruptas de la asamblea 
Por favor los nombres de los Asambleístas que abstuvieron.
"Hablamos de fiscalización ??? Aquí cito no más un caso de l poliducto Pascuales Cuenca hecho por el líder de la lista 1: presupuesto 200 millones de dólares; total gastado a la fecha 600 millones de dólares y yo pregunto en donde están los asambleístas por el Azuay ????"
