MENSAJE
Apoyo a la lista 1, todo, todito 1
Gracias por la visita hermano, como tú dices la ruta está marcada, lo que nos queda es la organización popular y a defender nuestro voto en febrero. #TodosSomos1
Estamos con la 1??????????Arauz-Rabascall y Correa 
Sigsig y el Ecuador entero apoya a los asambleístas y al binomio de la esperanza.
Hasta la victoria siempre
Pero ya no votarás en contra de la incautación de bienes a los rateros
Todos a activarse en la lucha de la democracia y luego a recuperar la patria
Viva carajo asta la victoria todo  todito 1 ????????????
A seguir trabajando por nuestros candidatos representando la lista UNO  la de CORREA
Vamos con fuerza
HLVS....TODO  TODITO  1
AZUAY  CON  JOTA  LLORÈT  LISTA  1  VENCEREMOS
#TodosSomos1
