MENSAJE
AZUAY  CON JOTA  LLORÈT  LISTA 1  VENCEREMOS    VIVA  EL  JOTA
Una sola vuelta con Arauz presidente y RABASCALL vicepresidente y con la mayoría de los asambleístas de la Revolución Ciudadana
#CaminamosAzuay24/7
Que ortografía de algunos  y todavía se atreven a opinar ..vergüenza....
Todas las veces los mismos de siempre no quieren dejar los puestos a otras personas ya estan acostumbrados a cojer el sueldo sin hacer nada
Lloret que propuesta hiciste en favor del sector obrero que beneficie a este umilde sector ultrajado, no hiciste nada da un paso al costado.
Queremos gente profesional que trabaje por mi País
Vamos  Por la  Lista  11111. ARAUZ
Este señor no a echo nada y anda pidiendo votos querenos jente joben q trabaje
Ni un a ese Lloret queremos gente nueva no los mismos de siempre ya quisiera que el sueldo de ellos sea el básico a ver si  les pasa las ganas de ser asambleísta
