MENSAJE
AZUAY  CON ARAUZ  Y CON JOTA LLORÈT  LISTA 1   VENCEREMOS
Favor, pongan la ubicación de la concentración
Que bueno cuenten con nosotros por nuestro futuro, nuestros hijos,  hoy y mañana estaremos con Andrés Arauz nuestro futuro presidente #ElBinomioDeLaEsperanza
En la unión de todos estará el resultado para este cambio que tanto queremos por nuestro Andrés Arauz, el es el único que nos puede ayudar ,cuenten con todos nosotros #elbinomiodelaesperanza
¡¡Unidos Venceremos!!
Todo todito 111
El pueblo al poder la UNO es todooooooo Arauz Rabascall
111
quieren destruir quieren mentir pero no podrán el pueblo sabe toda la VERDAD  ARAUZ Y PUNTO
Ahí estaremos Jotita ??
https://media1.tenor.co/images/5ff501e6719539f5bc11ad61da4c0278/tenor.gif?itemid=14338426
https://lahora.com.ec/noticia/1102330793/sentencia-del-tce-pone-en-riesgo-inscripcion-del-binomio-correista
Ahí estaremos unidos con la alegría y lucha inquebrantable por Arauz y Rabascall una sola vuelta 
Todo todito 1.
