MENSAJE
TODO NUESTRO APOYO AL SEÑOR  CRISTOBAL LLORÉT  GRACIAS POR ESTAR JUNTO AL PUEBLO  LISTA 1  VENCEREMOS
Total apoyo J......Que alegría que visitó mi querido Sigsig.
Siempre está junto al pueblo cuando más lo necesita (elecciones y campañas politicas) nada más.
Saludos Jotita avisa la próxima reunión de jóvenes de sigsig para sumar a  un grupo de chicos de jima
Juntos Venceremos.
Una sola vuelta y a recuperar la tranquilidad y la vida digna!
Grande Jota , se le quiere,
Solo por los candidatos presidenciales  Lloret es cara de Tuco ya no más de los mismos iluminados vayan a trabajar, hasta cuando  viven de chupar la sangre del pueblo
No han invitado compañeros pero les deseo lo mejor seguros que ganamos en primera vuelta con el 63% con los votos del pueblo cansados de tanto atropello y de los revolucionarios amantes de la justicia y equidad 
Una sola vuelta todo 1.
