MENSAJE
"Todo por una educacion de calidad ,  excelencia  con CALIDEZ; con un enfoque intercultural  y de inlcusion.  Que el perfil del bachiller se sustente en principios de: JUSTICIA, LIBERTAD, INNOVACION Y SOLIDARIDAD."
AZUAY  CON  ARAUZ  Y  JOTA LLORÈT  LISTA  1  VENCEREMOS
Compañero  Juan Cristóbal necesitamos una Educación de calidez  y por lo tanto pedimos que la Universidad Nacional de Educadores siga en adelante . Ya que tenemos  excelentes Docentes  para formar a los jóvenes  de ahora  .sólo así tendremos buenos Docentes para la niñez que viene ...
Querido  lloret  una pregunta que esa cuenta que tanto ablan mal del correismo según el una que abla casi cantando
El pueblo al poder la UNO es todooooooo Arauz Rabascall
TODO 1, Una sola vuelta
NO LES CREO ...
A recuperar la patria ??
TODO TODITO 1.
